Date,Average_Global_Active_Power
1/1/2007,114.54183333333333
1/1/2008,114.98908333333333
1/1/2009,58.61216666666667
1/1/2010,51.0105
1/10/2007,71.70508333333333
1/10/2008,78.01516666666667
1/10/2009,53.6355
1/10/2010,62.70083333333333
1/11/2007,20.675666666666668
1/11/2008,34.604083333333335
1/11/2009,76.79866666666666
1/11/2010,57.6325
1/12/2007,130.62258333333332
1/12/2008,67.35575
1/12/2009,73.18241666666667
1/2/2007,76.03166666666667
1/2/2008,63.94383333333334
1/2/2009,75.31083333333333
1/2/2010,70.57408333333333
1/3/2007,21.565166666666666
1/3/2008,47.57816666666667
1/3/2009,102.81775
1/3/2010,54.11366666666667
1/4/2007,116.08133333333332
1/4/2008,88.71050000000001
1/4/2009,68.38083333333334
1/4/2010,70.31
1/5/2007,69.32741666666666
1/5/2008,24.000583333333335
1/5/2009,63.03341666666666
1/5/2010,55.00658333333333
1/6/2007,43.53825
1/6/2008,77.0365
1/6/2009,60.13583333333333
1/6/2010,52.8735
1/7/2007,42.77766666666667
1/7/2008,50.635
1/7/2009,50.764250000000004
1/7/2010,56.208416666666665
1/8/2007,44.180749999999996
1/8/2008,30.81566666666667
1/8/2009,29.456916666666668
1/8/2010,23.152666666666665
1/9/2007,70.89525
1/9/2008,51.97958333333333
1/9/2009,40.855666666666664
1/9/2010,66.38825
10/1/2007,89.78333333333335
10/1/2008,78.91983333333333
10/1/2009,87.62283333333333
10/1/2010,104.51941666666666
10/10/2007,48.62383333333333
10/10/2008,63.26408333333333
10/10/2009,83.86483333333334
10/10/2010,83.28766666666667
10/11/2007,108.81666666666666
10/11/2008,87.16166666666668
10/11/2009,66.92433333333334
10/11/2010,81.10558333333334
10/12/2007,73.28141666666666
10/12/2008,87.95916666666666
10/12/2009,85.59525000000001
10/2/2007,117.88866666666667
10/2/2008,91.02974999999999
10/2/2009,80.99258333333334
10/2/2010,81.02258333333333
10/3/2007,103.52966666666667
10/3/2008,67.44525
10/3/2009,76.50875
10/3/2010,75.943
10/4/2007,32.390166666666666
10/4/2008,61.572750000000006
10/4/2009,76.75475
10/4/2010,49.592000000000006
10/5/2007,29.495166666666666
10/5/2008,79.547
10/5/2009,81.93966666666667
10/5/2010,61.16216666666667
10/6/2007,55.86716666666666
10/6/2008,44.46208333333333
10/6/2009,66.7915
10/6/2010,50.63291666666667
10/7/2007,37.84683333333333
10/7/2008,52.136500000000005
10/7/2009,49.463249999999995
10/7/2010,48.10433333333333
10/8/2007,42.83375
10/8/2008,14.668
10/8/2009,44.55658333333333
10/8/2010,22.69825
10/9/2007,46.55733333333333
10/9/2008,54.198499999999996
10/9/2009,46.348083333333335
10/9/2010,55.33783333333333
11/1/2007,93.96641666666666
11/1/2008,71.07575
11/1/2009,82.33283333333334
11/1/2010,63.2785
11/10/2007,72.18525
11/10/2008,69.55775
11/10/2009,80.76183333333334
11/10/2010,67.60791666666667
11/11/2007,78.63016666666667
11/11/2008,102.33125
11/11/2009,85.02
11/11/2010,73.89966666666668
11/12/2007,96.04599999999999
11/12/2008,59.68841666666666
11/12/2009,74.35258333333333
11/2/2007,148.80116666666666
11/2/2008,70.50066666666667
11/2/2009,109.97458333333333
11/2/2010,57.07366666666667
11/3/2007,145.0265
11/3/2008,91.66841666666666
11/3/2009,100.246
11/3/2010,81.29541666666667
11/4/2007,36.97841666666667
11/4/2008,78.236
11/4/2009,102.60191666666667
11/4/2010,66.78375
11/5/2007,40.79808333333333
11/5/2008,67.12166666666667
11/5/2009,63.215666666666664
11/5/2010,65.47366666666666
11/6/2007,33.11058333333333
11/6/2008,46.80025
11/6/2009,54.19375
11/6/2010,61.278
11/7/2007,30.098
11/7/2008,52.25899999999999
11/7/2009,41.41533333333333
